# timestamp tx ty tz qx qy qz qw
1734442414.037315 14.028001 -7.751023 1.576944 -0.251708 0.143438 0.862304 0.415331
1734442414.043090 14.021225 -7.742958 1.577403 -0.253278 0.144179 0.860927 0.416975
1734442414.047474 14.016105 -7.736824 1.577734 -0.254434 0.144769 0.859858 0.418271
1734442414.053041 14.009628 -7.729027 1.578126 -0.255856 0.145536 0.858492 0.419939
1734442414.057265 14.004733 -7.723109 1.578400 -0.256909 0.146118 0.857465 0.421191
1734442414.062913 13.998209 -7.715203 1.578728 -0.258277 0.146893 0.856119 0.422820
1734442414.067547 13.992873 -7.708726 1.578962 -0.259371 0.147507 0.855059 0.424079
1734442414.072662 13.986998 -7.701594 1.579179 -0.260547 0.148156 0.853952 0.425360
1734442414.077208 13.981788 -7.695274 1.579333 -0.261565 0.148688 0.853038 0.426382
1734442414.083093 13.975054 -7.687124 1.579473 -0.262848 0.149304 0.851958 0.427535
1734442414.087449 13.970077 -7.681115 1.579531 -0.263774 0.149697 0.851244 0.428250
1734442414.093123 13.963603 -7.673324 1.579544 -0.264950 0.150119 0.850430 0.428993
1734442414.097499 13.965856 -7.675512 1.575379 -0.266388 0.151397 0.847722 0.432993
1734442414.103089 13.959797 -7.668222 1.575090 -0.267490 0.151645 0.847148 0.433351
1734442414.107691 13.954814 -7.662248 1.574792 -0.268376 0.151780 0.846764 0.433506
1734442414.112817 13.949270 -7.655623 1.574393 -0.269335 0.151867 0.846432 0.433531
1734442414.117233 13.944499 -7.649937 1.573991 -0.270135 0.151890 0.846221 0.433435
1734442414.123094 13.938178 -7.642419 1.573372 -0.271158 0.151861 0.846032 0.433175
1734442414.127540 13.933391 -7.636734 1.572836 -0.271899 0.151797 0.845947 0.432901
1734442414.133090 13.927428 -7.629658 1.572085 -0.272767 0.151664 0.845905 0.432483
1734442414.137515 13.922683 -7.624030 1.571420 -0.273410 0.151529 0.845916 0.432102
1734442414.143090 13.916718 -7.616952 1.570497 -0.274162 0.151337 0.845970 0.431586
1734442414.147402 13.912113 -7.611487 1.569717 -0.274699 0.151178 0.846036 0.431171
1734442414.153090 13.906051 -7.604284 1.568598 -0.275360 0.150970 0.846139 0.430620
1734442414.157380 13.901490 -7.598857 1.567687 -0.275827 0.150819 0.846221 0.430212
1734442414.162800 13.895742 -7.592001 1.566455 -0.276368 0.150651 0.846325 0.429719
1734442414.167280 13.891006 -7.586334 1.565370 -0.276762 0.150542 0.846404 0.429349
